n;identifier;prob_member;RA_J2000;DE_J2000
20;* eps Tau ;100;4.47694;19.1804
108;* eps Tau ;100;4.47694;19.1804
170;LP 19-731 ;100;4.50499;19.8406
89;HD 26345 ;100;4.17843;18.4233
81;HR 1279 ;100;4.12833;15.1628
22;HD 28608 ;100;4.51588;10.7518
41;HD 27524 ;100;4.35879;21.0399
47;HD 27732 ;100;4.38954;21.3791
114;HD 28033 ;100;4.43847;21.4704
105;HD 30738 ;100;4.84682;16.2105
176;HD 27808 ;100;4.40405;21.7362
90;HD 26784 ;100;4.24287;10.7014
7;HD 30869 ;100;4.86389;13.6552
145;V* V984 Tau ;100;4.27597;21.9075
164;HD 30810 ;100;4.85348;11.0680
75;V* V1116 Tau ;100;4.60809;23.3409
171;* 101 Tau ;100;4.99565;15.9167
88;HR 1201 ;100;3.88612;17.3271
151;HD 27731 ;100;4.39178;24.4054
140;HR 1233 ;100;3.99458;10.3304
42;HR 1436 ;100;4.53467;5.4100
32;HD 28069 ;100;4.43259;5.1501
106;* 45 Tau ;100;4.18897;5.5230
146;HD 23261 ;100;3.73176;3.4464
178;HD 20439 ;100;3.29244;7.6902
14;LTT 10969 ;100;2.96812;20.6687
98;* 61 Ori ;100;6.03972;9.6473
