HIP;RA_J2000;DE_J2000
14391;3.094339;18.692046
14727;3.170707;21.271941
26356;5.612526;11.835686
16828;3.608399;21.780203
14996;3.221150;6.423987
28848;6.089667;9.279608
13846;2.970937;15.993168
16325;3.507325;10.458766
18803;4.029203;21.659349
19662;4.212983;23.520786
24129;5.182775;21.790921
25851;5.518203;23.217803
27396;5.802208;4.641147
15397;3.308480;5.813875
19499;4.178036;15.237040
21115;4.525291;22.220857
25668;5.482783;20.441822
26255;5.591786;4.841008
27306;5.785327;9.535239
16273;3.496958;13.415006
19702;4.220556;22.958784
22455;4.831924;13.689088
19443;4.163968;10.800453
27115;5.750140;6.350412
15503;3.329511;5.202627
28087;5.937350;3.866916
17645;3.780507;4.880816
18308;3.913806;5.583767
21299;4.570830;3.749670
24875;5.333458;24.423976
16838;3.611940;12.474373
18826;4.034443;6.523850
25151;5.382462;14.361105
21347;4.580603;24.244523
22416;4.824072;10.988396
27961;5.915330;14.219828
23473;5.045709;3.457704
15807;3.394164;4.882105
21976;4.724248;4.963586
25950;5.537262;17.058128
26239;5.590372;10.517631
18197;3.892411;4.050818
20270;4.345108;22.949707
22586;4.860643;4.610351
23082;4.967649;20.313695
14818;3.188517;20.901569
21176;4.539991;10.639924
26028;5.553009;11.202274
27405;5.803327;17.496498
16380;3.517068;7.198308
17883;3.825178;8.467016
24753;5.307741;6.746512
24637;5.286613;8.913200
25938;5.535390;6.047023
28812;6.082829;5.419970
14214;3.054588;10.924298
24612;5.278856;18.439535
26964;5.722084;23.204372
18326;3.918235;18.590490
18683;4.000992;13.190331
26971;5.723310;5.358637
28447;6.006745;16.298958
28667;6.052777;7.627145
18825;4.034297;11.301513
19384;4.152169;10.765159
19529;4.184277;16.646985
14390;3.094022;6.117436
15857;3.404280;11.860996
14735;3.171599;16.813495
18748;4.015783;23.201491
21929;4.715276;4.740727
22691;4.879416;22.661921
23328;5.018339;3.717325
27519;5.827209;21.828995
24163;5.188912;22.362708
25111;5.376246;16.803954
18508;3.957328;24.461937
20244;4.337952;7.853690
20587;4.409159;4.123351
14906;3.206306;10.326395
15872;3.407500;3.864542
26435;5.625835;16.556598
28691;6.057602;19.690561
19558;4.189393;22.061115
15048;3.231913;18.973337
21920;4.713690;6.509785
25493;5.452306;3.855547
25834;5.515577;19.788070
27638;5.850680;20.406217
14481;3.114576;20.861978
15822;3.397849;13.837254
24159;5.188340;7.005193
26207;5.585633;9.934158
28597;6.035948;23.929803
14683;3.161673;17.660911
25640;5.476693;4.949728
28882;6.097938;5.737922
18957;4.062390;5.435624
21517;4.620772;18.543032
27695;5.863501;15.882069
16571;3.555876;15.197997
22385;4.819031;5.218491
