"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2209",14676,3.1601,5.20288,13.83,71.03,-28.47,7.99,0.58,0,2
"2219",21503,4.61857,22.2843,14.29,201.54,-5.46,9.47,0.75,0,2
"2220",26676,5.66937,12.1781,14.3,271.77,-70.44,10.2,0.65,0,2
"2223",19082,4.09046,19.4422,14.56,123.06,-28.43,11.41,1.347,0,2
"2226",22850,4.91621,19.4854,14.67,63.32,-28.41,6.36,0.292,0,2
"2227",16083,3.45282,9.73268,14.68,53.61,-38.12,3.73,-0.082,0,2
"2230",15362,3.30126,6.48433,14.7,72.71,-111,8.8,0.702,0,2
"2231",22972,4.94326,23.2957,14.72,75.58,-105.55,7.51,0.516,0,2
"2234",22782,4.90085,17.0268,14.82,78.04,-0.66,7.22,0.536,0,2
"2239",20601,4.41201,4.69995,14.97,99.52,-1.15,8.93,0.758,0,2
"2241",21138,4.53124,15.4995,15.11,100.76,-23.42,11.02,1.28,0,2
"2242",15565,3.3427,12.3466,15.14,136.66,12.12,7.34,0.468,0,2
"2247",17235,3.69119,12.6079,15.26,45.86,-79.67,8.1,0.526,0,2
"2255",19971,4.28194,4.5427,15.44,170.16,4.61,7.84,0.644,0,2
"2258",16824,3.608,23.7973,15.66,53,-103.72,8.62,0.669,0,2
"2259",22253,4.79061,23.0509,15.74,77.6,-42.56,10.69,1.112,0,2
"2260",20482,4.38968,19.6587,15.82,98.53,-32.57,9.39,0.908,0,2
"2265",21741,4.66829,23.3045,15.96,74.68,-38.05,9.4,0.811,0,2
"2267",18347,3.92255,19.3809,16,182.14,-105.11,8.88,0.608,0,2
"2268",13589,2.91803,21.5951,16.01,146.33,-99.03,8.66,0.66,0,2
"2269",24289,5.21258,4.32109,16.01,229.55,-81.68,10.57,0.8,0,2
"2270",18719,4.01098,20.3804,16.04,142.36,-76.67,8.66,0.705,0,2
"2277",15453,3.32167,11.4559,16.45,207.65,55.3,11.22,0,0,2
"2280",24480,5.25322,20.0561,16.54,64.67,-36.47,7.72,0.687,0,2
"2281",19757,4.23559,9.40671,16.56,110.12,-7.26,11.09,1.21,0,2
"2288",23312,5.01358,4.73311,16.77,71.5,10.67,9.71,0.957,0,2
"2297",22566,4.85645,15.4335,17.14,67.63,-17.21,7.9,0.527,0,2
"2298",16548,3.55147,4.95811,17.2,121.87,20.31,11.88,1.378,0,2
"2299",22565,4.85624,18.8399,17.27,79.66,-32.76,5.08,0.214,0,2
"2301",20827,4.46307,14.4177,17.29,101.43,-20,9.48,0.929,0,2
"2306",13631,2.92564,18.7738,17.36,282.82,-146.54,9.74,0.839,0,2
