"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"5189",21280,4.56626,15.1636,24.02,101.93,-33.75,8.48,0.847,0,2
"5191",20834,4.4647,24.4448,24.05,375.08,114.38,9.4,0.894,0,2
"5192",22224,4.7804,17.7483,24.11,96.93,-33.93,9.6,0.967,0,2
"5193",18170,3.88612,17.3271,24.14,143.97,-29.93,5.97,0.354,1,2
"5194",18327,3.91847,16.9985,24.16,148.37,-25.09,8.99,0.895,0,2
"5195",20951,4.49211,17.8932,24.19,107,-33.31,8.95,0.831,1,2
"5196",21053,4.513,16.1487,24.28,98.2,-22.75,6.5,0.428,1,2
"5199",20605,4.41335,15.8747,24.41,102.58,-26.06,11.66,1.408,0,2
"5201",20557,4.40405,21.7362,24.47,119.1,-46.63,7.13,0.518,1,2
"5203",15374,3.30419,9.24515,24.54,123.52,15.81,11.91,1.341,0,2
"5205",18253,3.90444,8.55867,24.61,238.12,-67.02,11.94,1.46,0,2
"5207",20978,4.49937,16.6728,24.71,105.04,-28.33,9.08,0.865,0,2
"5208",18018,3.85086,23.9037,24.72,150.93,-46.61,10.17,1.16,0,2
"5210",19316,4.14074,12.1918,24.9,115.35,-13.05,11.28,1.327,0,2
"5211",21256,4.56033,21.1509,24.98,109.3,-45.31,10.69,1.237,0,2
"5213",16908,3.62638,21.3432,25.23,141.55,-27.39,9.35,0.917,0,2
"5215",18658,3.99458,10.3304,25.42,133.06,-3.5,6.35,0.417,1,2
"5220",19554,4.18897,5.52305,25.89,146.86,5,5.71,0.36,1,2
"5222",22221,4.77933,9.01742,26.26,89.03,-16.73,7.24,0.56,0,2
"5223",18322,3.91707,12.4856,26.49,127.58,-9.65,10.12,1.07,0,2
"5226",17928,3.8343,22.5916,26.91,155.06,-63.56,7.29,0.538,0,2
"5227",20441,4.37911,16.791,26.96,173.3,4.67,7.86,0.677,1,2
"5231",19591,4.19895,23.6363,27.21,137.76,-54.42,9.38,1.09,0,2
"5232",18531,3.96314,22.9244,27.72,157.34,11,8.78,0,0,2
"5234",18975,4.06572,8.19727,27.8,168.35,27.98,5.45,0.371,0,2
"5235",19767,4.23841,12.3481,27.98,341.22,-59.45,6.74,0.677,0,2
"5236",25873,5.52321,12.5561,28,172.35,-136.2,8.4,0.814,0,2
"5240",20745,4.44523,12.6866,28.27,123.44,-16.78,10.5,1.358,0,2
"5242",17794,3.80915,15.202,28.41,95.08,-89.59,9.45,1.08,0,2
"5246",19117,4.09845,11.9662,29.02,216.53,17.79,10.06,1.12,0,2
"5247",14230,3.05796,23.0615,29.62,111.75,3.47,7.09,0.624,0,2
"5250",19441,4.16371,9.3055,29.78,156.7,-2.81,10.1,1.192,0,2
"5251",19472,4.17057,17.3684,29.88,414.43,-152.23,9.07,1.07,0,2
"5253",19981,4.28524,22.6733,30.56,117.96,-42.19,9.77,1.23,0,2
"5254",17936,3.8358,6.62069,30.74,59.66,-40.52,7.72,0.684,0,2
"5255",14023,3.01003,5.98606,30.87,698.12,-157.87,8.11,0.838,0,2
"5256",19862,4.25936,15.7063,31.11,112.78,-25.84,10.96,0.924,0,2
"5259",13834,2.96812,20.6687,31.41,234.79,-31.64,5.8,0.415,1,2
"5262",14258,3.06412,6.1333,31.75,231.78,48.42,6.92,0.552,0,2
"5263",19834,4.25289,14.3985,31.94,118.87,-11.92,11.56,1.363,0,2
"5266",15563,3.34144,8.45444,34.18,228.24,2.51,9.65,1.13,0,2
"5268",24205,5.19624,4.40354,34.85,180.83,-137.32,7,0.588,0,2
"5275",22715,4.88465,22.2352,37.09,149.22,-129.31,8.78,1.019,0,2
"5278",13601,2.9215,16.3092,38.3,203.76,-47.24,7.41,0.749,0,2
"5283",13976,3.00078,7.74975,42.66,329.79,19.67,7.97,0.926,0,2
"5286",17496,3.74753,11.92,45.87,315.63,126.16,9.13,1.179,0,2
"5287",26844,5.69969,15.3372,46.51,78.74,-44.01,10.72,1.689,0,2
"5292",15844,3.4018,23.785,50.54,217.18,-129.17,10.38,1.51,0,2
"5296",19076,4.08896,22.0089,59.79,172.61,-130.08,5.9,0.62,0,2
"5298",23835,5.12417,18.6451,63.02,536.05,18.51,4.91,0.657,0,2
"5299",25278,5.40707,17.3835,68.19,250.4,-7.42,5,0.544,0,2
"5300",25220,5.39399,17.3241,69.76,253.35,-4.66,7.93,1.104,0,2
"5303",24284,5.21173,19.6656,78.5,275.09,238.42,10.82,1.55,0,2
"5305",21000,4.5035,5.29882,84.76,106.9,119.86,9.83,0.6,0,2
"5311",22449,4.83067,6.96128,124.6,463.44,11.62,3.19,0.484,0,2
