"","fila","columna","RA_J2001SIMBAD","DE_J2001SIMBAD","RA_J2000HIPPARCOS","DE_J2000HIPPARCOS"
"138","2660","2464","4.45997","15.5892","4.459969","15.589188"
"139","2464","2660","4.459969","15.589188","4.45997","15.5892"
"140","2429","2814","4.128329","15.162788","4.12833","15.1628"
"141","2664","2405","4.47625","15.9622","4.476249","15.962181"
"142","2665","2405","4.47625","15.9622","4.476249","15.962181"
"143","2405","2664","4.476249","15.962181","4.47625","15.9622"
"144","2405","2665","4.476249","15.962181","4.47625","15.9622"
"145","2664","2405","4.47625","15.9622","4.476249","15.962181"
"146","2665","2405","4.47625","15.9622","4.476249","15.962181"
"147","2405","2664","4.476249","15.962181","4.47625","15.9622"
"148","2405","2665","4.476249","15.962181","4.47625","15.9622"
"149","2673","2403","4.48327","16.1591","4.48327","16.159092"
"150","2403","2673","4.48327","16.159092","4.48327","16.1591"
"151","2683","2443","4.44448","16.7469","4.444478","16.746899"
"152","2443","2683","4.444478","16.746899","4.44448","16.7469"
"153","2685","2539","4.513","16.1487","4.512999","16.148696"
"154","2539","2685","4.512999","16.148696","4.513","16.1487"
"155","2699","2406","4.40787","16.8862","4.407868","16.886166"
"156","2818","2450","4.43847","21.4704","4.438472","21.470434"
"157","2406","2699","4.407868","16.886166","4.40787","16.8862"
"158","2450","2818","4.438472","21.470434","4.43847","21.4704"
"159","2712","2570","4.3791","16.791","4.379106","16.79104"
"160","2570","2712","4.379106","16.79104","4.3791","16.791"
"161","2719","2426","4.39231","14.6705","4.392314","14.670478"
"162","2426","2719","4.392314","14.670478","4.39231","14.6705"
"163","2724","2419","4.48008","17.2855","4.480082","17.285464"
"164","2419","2724","4.480082","17.285464","4.48008","17.2855"
"165","2739","2422","4.32989","15.6276","4.32989","15.627642"
"166","2740","2422","4.32989","15.6276","4.32989","15.627642"
"167","2422","2739","4.32989","15.627642","4.32989","15.6276"
"168","2422","2740","4.32989","15.627642","4.32989","15.6276"
"169","2739","2422","4.32989","15.6276","4.32989","15.627642"
"170","2740","2422","4.32989","15.6276","4.32989","15.627642"
"171","2422","2739","4.32989","15.627642","4.32989","15.6276"
"172","2422","2740","4.32989","15.627642","4.32989","15.6276"
"173","2745","2512","4.48904","17.5449","4.489043","17.544935"
"174","2512","2745","4.489043","17.544935","4.48904","17.5449"
"175","2750","2513","4.3319","16.5226","4.331905","16.522588"
"176","2513","2750","4.331905","16.522588","4.3319","16.5226"
"177","2755","2509","4.57647","15.5046","4.576475","15.50462"
"178","2509","2755","4.576475","15.50462","4.57647","15.5046"
"179","2758","2431","4.38225","17.5425","4.382248","17.542514"
"180","2759","2431","4.38225","17.5425","4.382248","17.542514"
"181","2431","2758","4.382248","17.542514","4.38225","17.5425"
"182","2431","2759","4.382248","17.542514","4.38225","17.5425"
"183","2758","2431","4.38225","17.5425","4.382248","17.542514"
"184","2759","2431","4.38225","17.5425","4.382248","17.542514"
"185","2431","2758","4.382248","17.542514","4.38225","17.5425"
"186","2431","2759","4.382248","17.542514","4.38225","17.5425"
"187","2760","2367","4.35967","14.4098","4.359665","14.409789"
"188","2367","2760","4.359665","14.409789","4.35967","14.4098"
"189","2767","2386","4.30535","16.0883","4.305354","16.088341"
"190","2386","2767","4.305354","16.088341","4.30535","16.0883"
"191","2769","2452","4.49176","17.8632","4.491764","17.863163"
"192","2452","2769","4.491764","17.863163","4.49176","17.8632"
"193","2770","2538","4.49211","17.8932","4.492113","17.893182"
"194","2538","2770","4.492113","17.893182","4.49211","17.8932"
"195","2781","2501","4.61131","15.8693","4.611312","15.869329"
"196","2501","2781","4.611312","15.869329","4.61131","15.8693"
"197","2796","2485","4.26286","15.4007","4.262857","15.400695"
"198","2485","2796","4.262857","15.400695","4.26286","15.4007"
"199","2799","2383","4.35896","18.4176","4.358964","18.417582"
"200","2383","2799","4.358964","18.417582","4.35896","18.4176"
"201","2803","2496","4.56296","13.2519","4.562956","13.251883"
"202","2496","2803","4.562956","13.251883","4.56296","13.2519"
"203","2808","2469","4.24046","14.625","4.240458","14.625035"
"204","2469","2808","4.240458","14.625035","4.24046","14.625"
"205","2810","2414","4.47694","19.1804","4.476944","19.180432"
"206","2811","2414","4.47694","19.1804","4.476944","19.180432"
"207","2414","2810","4.476944","19.180432","4.47694","19.1804"
"208","2414","2811","4.476944","19.180432","4.47694","19.1804"
"209","2810","2414","4.47694","19.1804","4.476944","19.180432"
"210","2811","2414","4.47694","19.1804","4.476944","19.180432"
"211","2414","2810","4.476944","19.180432","4.47694","19.1804"
"212","2414","2811","4.476944","19.180432","4.47694","19.1804"
"213","2812","2384","4.50499","19.8406","4.504992","19.840576"
"214","2384","2812","4.504992","19.840576","4.50499","19.8406"
"215","2813","2510","4.17843","18.4233","4.178435","18.423253"
"216","2510","2813","4.178435","18.423253","4.17843","18.4233"
"217","2814","2429","4.12833","15.1628","4.128329","15.162788"
"218","2660","2464","4.45997","15.5892","4.459969","15.589188"
"219","2464","2660","4.459969","15.589188","4.45997","15.5892"
"220","2429","2814","4.128329","15.162788","4.12833","15.1628"
"221","2815","2499","4.51588","10.7518","4.515881","10.751768"
"222","2499","2815","4.515881","10.751768","4.51588","10.7518"
"223","2816","2372","4.35879","21.0399","4.358791","21.039877"
"224","2372","2816","4.358791","21.039877","4.35879","21.0399"
"225","2817","2404","4.38954","21.3791","4.389536","21.379095"
"226","2404","2817","4.389536","21.379095","4.38954","21.3791"
"227","2699","2406","4.40787","16.8862","4.407868","16.886166"
"228","2818","2450","4.43847","21.4704","4.438472","21.470434"
"229","2406","2699","4.407868","16.886166","4.40787","16.8862"
"230","2450","2818","4.438472","21.470434","4.43847","21.4704"
"231","2819","2359","4.84682","16.2105","4.846818","16.210455"
"232","2359","2819","4.846818","16.210455","4.84682","16.2105"
"233","2820","2544","4.40405","21.7362","4.404049","21.736244"
"234","2544","2820","4.404049","21.736244","4.40405","21.7362"
"235","2821","2417","4.24287","10.7014","4.242873","10.701388"
"236","2417","2821","4.242873","10.701388","4.24287","10.7014"
"237","2831","2472","4.43259","5.1501","4.432594","5.150145"
"238","2822","2529","4.86389","13.6552","4.863886","13.655155"
"239","2529","2822","4.863886","13.655155","4.86389","13.6552"
"240","2472","2831","4.432594","5.150145","4.43259","5.1501"
"241","2823","2370","4.27597","21.9075","4.275966","21.907469"
"242","2370","2823","4.275966","21.907469","4.27597","21.9075"
"243","2824","2393","4.85348","11.068","4.853482","11.068026"
"244","2393","2824","4.853482","11.068026","4.85348","11.068"
"245","2825","2489","4.60809","23.3409","4.608094","23.340855"
"246","2489","2825","4.608094","23.340855","4.60809","23.3409"
"247","2826","2507","4.99565","15.9167","4.995645","15.916734"
"248","2507","2826","4.995645","15.916734","4.99565","15.9167"
"249","2827","2536","3.88612","17.3271","3.886124","17.327083"
"250","2536","2827","3.886124","17.327083","3.88612","17.3271"
"251","2828","2390","4.39178","24.4054","4.391778","24.405402"
"252","2390","2828","4.391778","24.405402","4.39178","24.4054"
"253","2829","2558","3.99458","10.3304","3.994582","10.330402"
"254","2558","2829","3.994582","10.330402","3.99458","10.3304"
"255","2830","2508","4.53467","5.41","4.534669","5.410035"
"256","2508","2830","4.534669","5.410035","4.53467","5.41"
"257","2831","2472","4.43259","5.1501","4.432594","5.150145"
"258","2822","2529","4.86389","13.6552","4.863886","13.655155"
"259","2529","2822","4.863886","13.655155","4.86389","13.6552"
"260","2472","2831","4.432594","5.150145","4.43259","5.1501"
"261","2832","2563","4.18897","5.523","4.188967","5.523047"
"262","2563","2832","4.188967","5.523047","4.18897","5.523"
"263","2834","2454","3.29244","7.6902","3.292439","7.690152"
"264","2454","2834","3.292439","7.690152","3.29244","7.6902"
"265","2835","2602","2.96812","20.6687","2.968117","20.668733"
"266","2602","2835","2.968117","20.668733","2.96812","20.6687"
"267","2836","2448","6.03972","9.6473","6.039722","9.647277"
"268","2448","2836","6.039722","9.647277","6.03972","9.6473"
