"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2324",20087,4.30645,21.5793,18.25,96.42,-33.92,5.64,0.277,0,2
"2325",24923,5.34039,11.6098,18.26,50.64,-13.41,9.03,0.765,0,2
"2326",23155,4.98158,10.5547,18.28,55.24,-152.87,10.96,0,0,2
"2327",22616,4.86588,9.8727,18.3,20.57,-29.64,6.82,0.423,0,2
"2328",15278,3.28514,24.0352,18.4,107.1,6.09,8.96,0.719,0,2
"2329",20873,4.47317,14.741,18.42,109.72,-21.27,5.9,0.325,0,2
"2330",21918,4.71356,12.2098,18.42,80.19,-227.59,7.4,0.76,0,2
"2331",23498,5.05213,13.7307,18.44,65.95,-18.46,9,0.765,0,2
"2332",25082,5.36978,5.39531,18.46,49.12,-50.64,7.01,0.516,0,2
"2333",23983,5.15546,9.82958,18.54,63.54,-7.87,5.43,0.249,0,2
"2334",24660,5.29187,14.514,18.54,11.69,-74.92,8.54,0.667,0,2
"2336",26382,5.6177,17.0403,18.56,42.9,-34.86,5.53,0.237,0,2
"2337",22826,4.91213,12.3522,18.58,92.23,-39.95,7.13,0.583,0,2
"2338",26651,5.6643,24.2255,18.64,-3.06,40.18,7.12,0.398,0,2
"2339",27878,5.89965,12.4194,18.64,-8.44,-260.15,7.76,0.59,0,2
"2340",25860,5.52049,15.7735,18.66,-43.48,-373.23,8.64,0.669,0,2
"2343",20567,4.40619,17.079,18.74,99.08,-27.93,6.96,0.45,0,2
"2344",23750,5.105,17.8164,18.78,64.38,-31.98,8.82,0.73,0,2
"2345",17305,3.70442,22.7865,18.79,21.57,-75.5,7.4,0.428,0,2
"2346",23871,5.13011,20.4184,18.8,-49.12,-31.33,5.28,0.118,0,2
"2347",13600,2.92119,17.8917,18.89,117.79,-13.2,8.83,0.704,0,2
"2349",21475,4.61147,11.9124,18.93,165.74,-29.14,9.94,0.852,0,2
"2350",22654,4.8732,18.9969,18.93,78.66,-31.45,10.29,1.07,0,2
"2351",24883,5.33433,13.545,18.93,-20.2,-89.59,7.5,0.561,0,2
"2352",14803,3.1862,9.19637,19.13,238.1,-71.82,11.31,1.25,0,2
"2354",20419,4.3738,11.3057,19.17,115.03,-6.69,9.79,1.183,0,2
"2357",21926,4.71452,18.1449,19.22,61.63,-121.96,10.27,0.818,0,2
"2359",22350,4.8117,21.101,19.3,81.87,-46.43,9.06,0.843,0,2
"2360",22524,4.84682,16.2105,19.3,83.97,-24.87,7.29,0.536,1,2
"2362",14175,3.04627,12.354,19.33,196.19,14.14,10.21,1.382,0,2
"2363",20563,4.40471,18.0029,19.35,112.72,-33.2,9.99,1.05,0,2
"2364",14807,3.18676,22.423,19.36,59.21,-129.85,10.55,0,0,2
"2365",22203,4.77511,15.472,19.42,91.37,-24.72,8.3,0.665,0,2
"2366",14838,3.19382,19.7267,19.44,154.61,-8.39,4.35,1.033,0,2
"2367",21670,4.65171,7.87098,19.44,91.87,-4.56,5.38,0.257,0,2
"2368",20357,4.35966,14.4098,19.46,105.19,-19.11,6.6,0.412,1,2
"2369",21112,4.52482,13.9035,19.46,92.6,-19.96,7.78,0.54,0,2
"2370",19870,4.26179,20.8198,19.48,111.21,-36.57,7.83,0.705,0,2
"2371",19934,4.27597,21.9075,19.48,105.61,-37.59,9.14,0.813,1,2
"2372",21788,4.6803,23.8096,19.48,63.12,-48.26,8.84,0.688,0,2
"2373",20349,4.35879,21.0399,19.55,105.2,-36,6.79,0.434,1,2
"2374",20086,4.30611,17.4216,19.57,120.57,-40.55,10.01,1.097,0,2
"2375",23069,4.96375,14.0022,19.66,67.17,-19.49,8.89,0.737,0,2
"2376",22422,4.82559,15.8887,19.68,87.37,-23.68,7.72,0.578,0,2
"2377",19263,4.12867,16.5188,19.7,123.1,-25.25,9.94,1.005,0,2
"2378",15572,3.34361,9.03355,19.71,287.04,-62.85,8.46,0.69,0,2
"2379",22688,4.87919,14.6231,19.75,200.05,-37.85,7.51,0.639,0,2
"2380",27118,5.7505,4.00811,19.79,-11,-34.02,6.09,0.32,0,2
"2381",13674,2.93538,7.92254,19.81,186.3,-46.04,9.93,1.055,0,2
"2382",19098,4.09435,17.9377,19.81,126.34,-29.13,9.31,0.89,0,2
"2383",22265,4.79377,18.2587,19.81,78.87,-38.81,8.54,0.72,0,2
"2384",20350,4.35896,18.4176,19.83,111.05,-31.69,6.8,0.441,1,2
"2385",21008,4.50499,19.8406,19.94,94.9,-28.3,7.09,0.47,1,2
"2386",25195,5.3907,16.9815,19.97,6.43,-152.28,8.11,0.606,0,2
"2387",20082,4.30535,16.0883,20.01,121.88,-19.72,9.57,0.98,1,2
"2388",23497,5.0516,21.59,20.01,68.94,-40.85,4.62,0.155,0,2
"2389",21961,4.72049,24.0889,20.03,15.62,-18.3,6.18,0.544,0,2
"2391",20491,4.39178,24.4054,20.04,93.11,-45.08,7.18,0.462,1,2
"2392",20890,4.477,19.7407,20.09,99.83,-39.82,8.62,0.741,0,2
"2393",20187,4.32691,12.6243,20.13,168.47,-19.23,9.81,0.924,0,2
"2394",22550,4.85348,11.068,20.15,87.6,-8.72,6.79,0.543,1,2
"2395",15304,3.29066,7.65581,20.2,169.3,-7.64,7.38,0.567,0,2
"2396",14809,3.18718,22.4159,20.24,56.04,-125.11,8.51,0.71,0,2
"2397",20901,4.4806,13.0476,20.33,105.17,-15.08,5.02,0.215,0,2
"2398",20614,4.41587,19.042,20.4,110.73,-32.5,5.97,0.378,0,2
"2399",17472,3.74432,10.1779,20.41,170.32,-231.35,8.62,0.66,0,2
"2401",21683,4.65458,15.918,20.51,82.4,-19.53,4.67,0.147,0,2
"2402",27802,5.88327,15.1709,20.53,175.68,103.31,10.39,1.4,0,2
"2403",25127,5.37853,13.2291,20.54,15.31,-45.45,9.15,0.706,0,2
"2404",20916,4.48327,16.1591,20.58,90.28,-25.47,6.59,0.536,1,2
"2405",20480,4.38954,21.3791,20.63,99.77,-39.07,8.84,0.758,1,2
"2406",20885,4.47625,15.9622,20.66,104.76,-15.01,3.84,0.952,1,2
"2407",20577,4.40787,16.8862,20.73,110.89,-24.72,7.79,0.599,1,2
"2408",22044,4.74051,11.1461,20.73,98.87,-13.47,5.39,0.251,0,2
"2409",20679,4.42988,18.0173,20.79,112.62,-35.79,8.99,0.935,0,2
"2410",21654,4.64925,14.1056,20.81,103.31,-21.62,7.96,0.655,0,2
"2411",20842,4.46688,21.6199,20.85,98.82,-40.59,5.72,0.27,0,2
"2412",20713,4.4391,15.6183,20.86,114.66,-33.3,4.48,0.262,0,2
"2413",20616,4.41676,11.9779,21,43.19,-16.32,8.41,0.639,0,2
"2414",26444,5.62697,6.11201,21.01,93.4,-89.05,7.64,0.578,0,2
"2415",20889,4.47694,19.1804,21.04,107.23,-36.77,3.53,1.014,1,2
"2416",21261,4.56165,19.014,21.06,102.3,-34.96,10.74,1.197,0,2
"2417",20711,4.43846,22.8136,21.07,108.66,-45.83,4.28,0.263,0,2
"2418",19796,4.24287,10.7014,21.08,119.81,-5.22,7.11,0.514,1,2
"2419",20485,4.39036,15.7631,21.08,126.22,-30.5,10.47,1.231,0,2
"2420",20899,4.48008,17.2855,21.09,105.58,-30.05,7.83,0.609,1,2
"2421",21946,4.71706,18.7116,21.1,100.3,-93,9.92,1.122,0,2
"2422",20255,4.34031,18.7426,21.12,119.59,-48.17,6.11,0.404,0,2
"2423",20205,4.32989,15.6276,21.17,115.29,-23.86,3.65,0.981,1,2
"2424",20484,4.3903,16.7773,21.17,105.09,-27.62,5.64,0.31,0,2
"2425",20826,4.4628,11.7364,21.18,110.28,-12.11,7.49,0.56,0,2
"2426",20261,4.34342,15.0955,21.2,108.79,-20.67,5.26,0.225,0,2
"2427",20492,4.39231,14.6705,21.23,107.57,-18.24,9.11,0.855,1,2
"2428",20146,4.31889,17.5247,21.24,112.8,-29.89,8.47,0.721,0,2
"2429",25523,5.45834,18.8456,21.24,56.36,-346.11,9.58,0.92,0,2
"2430",19261,4.12833,15.1628,21.27,127.06,-22.75,6.02,0.397,1,2
"2431",20635,4.42282,22.2939,21.27,105.49,-44.14,4.21,0.136,0,2
"2432",20455,4.38225,17.5425,21.29,107.75,-28.84,3.77,0.983,1,2
"2433",20850,4.4679,13.8679,21.29,106.16,-17.59,9.02,0.839,0,2
"2435",21308,4.57506,10.0164,21.36,118.55,-68.94,7.72,0.615,0,2
"2437",17962,3.84027,17.2465,21.37,130.19,-23.3,9.46,0.782,0,2
"2438",22380,4.81765,18.6412,21.38,82.39,-40.86,8.98,0.833,0,2
"2439",21273,4.56414,14.8444,21.39,103.69,-25.94,4.65,0.255,0,2
"2440",24021,5.16275,7.18159,21.39,51.64,14.61,7.41,0.464,0,2
"2441",20019,4.29415,16.9479,21.4,113.07,-21.39,8.32,0.756,0,2
"2442",18433,3.94131,22.6744,21.41,174.27,-233.12,7.84,0.688,0,2
"2443",19148,4.10448,15.6981,21.41,118.53,-19.59,7.85,0.593,0,2
"2444",20741,4.44448,16.7469,21.42,110.29,-27.82,8.1,0.664,1,2
"2445",20440,4.37894,15.0561,21.45,111.98,-19.88,6.97,0.518,0,2
"2446",20661,4.42703,15.941,21.47,104.62,-28.83,6.44,0.509,1,2
"2447",21983,4.72548,11.1667,21.48,97.8,24.92,10.29,1.16,0,2
"2448",21673,4.65256,15.7998,21.49,32.4,-77.67,5.08,0.141,0,2
"2449",28614,6.03972,9.64728,21.49,14.19,-37.44,4.12,0.17,1,2
"2450",17960,3.83971,17.4764,21.5,114.24,-252.31,7.5,0.653,0,2
"2451",20712,4.43847,21.4704,21.54,105.82,-36.48,7.36,0.557,1,2
"2453",20948,4.49176,17.8632,21.59,105.72,-32.56,6.9,0.451,1,2
"2454",16329,3.50845,20.1033,21.61,155.02,-63.38,8.29,0.739,0,2
"2455",15310,3.29244,7.69015,21.64,170.41,-7.48,7.78,0.617,1,2
"2456",28734,6.06867,23.2633,21.64,-2.6,-119.72,4.16,0.835,0,2
"2457",21402,4.59424,10.1608,21.68,44.89,-52.42,4.25,0.184,0,2
"2458",19793,4.24231,23.5749,21.69,121.09,-48.34,8.05,0.657,0,2
"2459",26018,5.55193,20.0356,21.71,-71,-296.53,8.81,0.9,0,2
"2460",20719,4.44017,16.8533,21.76,103.64,-17.58,8.04,0.651,0,2
"2461",21589,4.63596,12.5108,21.79,101.73,-14.9,4.27,0.122,0,2
"2462",20284,4.34798,13.8644,21.8,105.29,-17.97,6.15,0.456,0,2
"2463",21099,4.52103,20.1332,21.81,102.78,-41.08,8.59,0.734,0,2
"2464",20762,4.44843,13.1382,21.83,104.54,-18.1,10.48,1.146,0,2
"2465",20815,4.45997,15.5892,21.83,103.54,-25.16,7.41,0.537,1,2
"2466",20056,4.30051,18.2568,21.84,115.65,-31.23,7.53,0.681,0,2
"2467",21036,4.51038,13.7244,21.84,108.06,-19.71,5.4,0.263,0,2
"2468",20400,4.36764,14.0772,21.87,114.04,-21.4,5.72,0.315,0,2
"2469",20894,4.47771,15.8709,21.89,108.66,-26.39,3.4,0.179,0,2
"2470",19781,4.24046,14.625,21.91,105.61,-19.86,8.45,0.693,1,2
"2471",21588,4.63596,16.0333,21.96,113.05,-40.4,5.78,0.312,0,2
"2472",18735,4.01355,18.194,21.99,129.49,-28.27,5.89,0.319,0,2
"2473",20693,4.43259,5.15015,22.03,96.32,4.55,7.36,0.509,1,2
"2474",20648,4.42483,17.9279,22.05,108.26,-32.47,4.3,0.049,0,2
"2475",19786,4.2409,12.4353,22.19,117.48,-9.35,8.05,0.64,0,2
"2476",24681,5.29472,7.35334,22.22,-3.74,-148.69,7.31,0.661,0,2
"2478",20553,4.40346,14.7582,22.25,97.38,-33.51,7.58,0.604,0,2
"2479",21137,4.53104,15.8516,22.25,107.59,-32.38,6.01,0.338,0,2
"2480",20237,4.33694,19.2335,22.27,115.67,-34.02,7.46,0.56,0,2
"2481",18471,3.9478,22.478,22.31,69.43,-114.82,5.62,0.345,0,2
"2482",20219,4.3327,14.0352,22.31,115.42,-19.91,5.58,0.283,0,2
"2483",20542,4.4016,17.4441,22.36,109.99,-33.47,4.8,0.154,0,2
"2484",22177,4.77189,3.63634,22.45,92.59,12.96,10.92,1.277,0,2
"2485",13679,2.93716,8.38156,22.46,69.83,-88.32,5.97,0.478,0,2
"2486",19877,4.26286,15.4007,22.51,114.38,-22.07,6.31,0.4,1,2
"2487",21029,4.50934,16.194,22.54,104.98,-25.14,4.78,0.17,0,2
"2488",21039,4.5108,15.6919,22.55,104.17,-24.29,5.47,0.258,0,2
"2489",20527,4.39845,14.0521,22.57,115.9,-15.21,10.89,1.288,0,2
"2490",21459,4.60809,23.3409,22.6,109.97,-53.86,6.01,0.38,1,2
"2491",21637,4.64758,23.15,22.6,104.3,-55.25,7.51,0.576,0,2
"2492",20641,4.42361,22.2,22.65,112.45,-47.06,5.27,0.25,0,2
"2493",15401,3.30978,10.3124,22.66,147.35,-80.83,12.25,1.485,0,2
"2494",19808,4.24776,13.055,22.67,114.46,-19.28,10.69,1.204,0,2
"2495",18893,4.04986,9.20849,22.7,93.22,-162.79,6.91,0.466,0,2
"2496",16529,3.54724,23.6922,22.78,160.99,-40.55,8.88,0.844,0,2
"2497",21267,4.56296,13.2519,22.8,101.77,-17.93,6.62,0.429,1,2
"2498",20995,4.50239,15.6378,22.93,107.59,-23.92,5.58,0.324,0,2
"2500",21066,4.51588,10.7518,22.96,104.19,-10.52,7.03,0.472,1,2
"2501",22496,4.83998,17.2027,22.96,102.78,-29.7,7.1,0.563,0,2
"2502",21474,4.61131,15.8693,22.99,93.78,-23.02,6.64,0.442,1,2
"2503",20751,4.44674,10.8711,23.03,111.07,-16.26,9.45,1.033,0,2
"2505",18946,4.06084,19.455,23.07,119.02,-34.19,10.12,1.095,0,2
"2506",20686,4.43104,18.8641,23.08,110.87,-33.75,8.07,0.68,0,2
"2507",21380,4.58812,23.0452,23.09,-13.35,-67.89,8.91,0.77,0,2
"2508",23214,4.99565,15.9167,23.09,87.21,-29.19,6.75,0.45,1,2
"2509",21152,4.53467,5.41004,23.13,114.15,6.17,6.37,0.42,1,2
"2510",21317,4.57648,15.5046,23.19,100.66,-28.04,7.9,0.631,1,2
"2511",19504,4.17843,18.4233,23.22,123.92,-31.41,6.61,0.427,1,2
"2512",21923,4.71436,18.7204,23.23,103.46,-92.15,7.12,0.677,0,2
"2513",20935,4.48904,17.5449,23.25,104.88,-31.65,7.02,0.526,1,2
"2514",20215,4.3319,16.5226,23.27,121.27,-36.65,6.85,0.509,1,2
"2515",26664,5.66715,6.06058,23.32,54.7,-245.76,8.67,0.827,0,2
"2516",23287,5.00943,3.61575,23.33,10.35,-27.39,6.65,-0.053,0,2
"2517",24292,5.21332,16.3071,23.35,31.69,-262.46,10.55,1.23,0,2
"2518",21123,4.52697,17.7098,23.41,105.81,-30.97,9.53,0.987,0,2
"2521",20130,4.3161,19.9067,23.53,113.95,-36.39,8.62,0.745,0,2
"2522",21543,4.62555,15.1465,23.54,86.8,-17.98,7.53,0.597,0,2
"2523",15724,3.37572,17.7254,23.55,40.02,-29.15,8.83,0.882,0,2
"2524",16641,3.56899,17.8328,23.57,95.5,-310.56,6.14,0.891,0,2
"2525",19207,4.11701,15.335,23.57,122.63,-18.96,10.49,1.18,0,2
