HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
23996,5.15829,14.3559,1.37,7.13,-13.52,8.03,1.769,0
26826,5.69559,19.3571,1.37,-4.01,-3.43,8.17,0.232,0
25155,5.38322,11.4175,1.4,0.25,-6.63,8.95,1.442,0
25809,5.51252,21.5153,1.4,-4.32,-5.16,10.33,0.731,0
25035,5.36109,18.9068,1.41,-2.71,-14.32,7.71,0.943,0
20321,4.35347,4.46539,1.42,0.17,-18.09,8.86,1.123,0
26618,5.65765,11.5029,1.43,21.07,-15.46,7.92,1.558,0
25375,5.42835,9.22853,1.45,-11.29,-20.81,8.18,1.587,0
26575,5.64994,4.13866,1.46,0.11,-7.73,8.16,1.66,0
21575,4.63176,7.31763,1.48,2.83,-3.05,7,-0.057,0
25445,5.44227,8.25533,1.48,-4.25,-1.47,8.45,0.083,0
24158,5.1883,22.1169,1.49,0.43,-0.8,8.07,0.755,0
27841,5.89079,18.17,1.49,-1.72,-5.7,7.59,0.494,0
28046,5.9311,19.3961,1.49,3.22,-1.33,8.8,1.459,0
15564,3.34238,16.333,1.5,3.03,-8.14,9.22,0.449,0
16416,3.52346,17.8113,1.5,14.84,-16.04,8.19,1.259,0
18441,3.9422,8.51175,1.51,8.31,-22.16,8.94,1.212,0
19180,4.11124,13.1572,1.52,-11.86,-20.01,9.51,1.239,0
28041,5.93033,20.1752,1.52,-13.61,-6.2,10.62,1.5,0
28621,6.04259,13.0254,1.52,-0.2,-26.96,6.96,1.644,0
27906,5.90521,24.3287,1.53,-3.8,-5.37,9.67,0.321,0
23587,5.072,20.0394,1.55,8.11,-6.14,9.91,1.651,0
25004,5.35371,7.35538,1.57,1.61,-0.09,9.75,2.735,0
26982,5.72514,18.1454,1.57,-2.86,-1.29,8.8,0.073,0
18792,4.02627,20.6061,1.59,13.6,-5.7,10.8,0.507,0
18937,4.05888,12.8989,1.59,7.63,-1.96,8.9,1.823,0
27544,5.8328,14.8802,1.59,-6.24,-11.01,8.38,0.091,0
27480,5.81883,4.21247,1.6,-7.64,-11.7,7.81,-0.054,0
25390,5.43163,21.7859,1.62,0.56,-3.15,8.72,1.394,0
26513,5.63784,4.93396,1.64,-3.82,-6.9,7.93,0.182,0
27150,5.75592,23.3933,1.65,-10.61,-5.81,9.14,0.261,0
28582,6.03333,16.5158,1.65,-1.68,-5.7,9.51,0.044,0
21626,4.6434,8.17517,1.66,-0.7,-8.38,7.64,-0.01,0
22112,4.75963,19.3283,1.66,0.25,1.18,8.39,0.355,0
25266,5.40356,22.1379,1.66,26.28,-14.45,10.59,0.756,0
27567,5.83826,16.5723,1.66,4.37,-10.13,9.21,0.141,0
20336,4.35665,18.2663,1.67,4.01,-4.56,8.04,0.41,0
21904,4.7104,12.3111,1.69,1.24,0.89,8.16,0.755,0
27590,5.8423,18.0264,1.69,-2,-6.56,7.72,-0.08,0
25467,5.44607,4.05613,1.7,-3.02,-6.92,8.69,0.114,0
25945,5.53687,18.5942,1.7,-0.34,-4.51,4.32,2.06,0
